Time,Open,High,Low,Close,Volume
2026-05-22 07:06:11.112,7493.2500,7495.7500,7491.0000,7491.7500,2429
2026-05-22 07:06:19.556,7491.7500,7491.7500,7486.0000,7489.0000,2633
2026-05-22 07:06:48.424,7489.0000,7491.2500,7489.0000,7489.2500,2509
2026-05-22 07:07:16.064,7489.2500,7492.2500,7488.7500,7492.2500,2497
2026-05-22 07:07:53.768,7492.2500,7492.7500,7490.0000,7491.2500,2553
2026-05-22 07:08:29.408,7491.2500,7495.2500,7490.7500,7494.7500,2453
2026-05-22 07:09:14.732,7494.7500,7494.7500,7491.5000,7494.0000,2502
2026-05-22 07:10:09.812,7494.0000,7495.7500,7492.7500,7495.5000,2440
2026-05-22 07:10:58.636,7495.5000,7497.7500,7495.2500,7496.7500,2432
2026-05-22 07:11:54.320,7496.7500,7497.0000,7494.0000,7495.5000,2369
2026-05-22 07:12:58.856,7495.5000,7497.5000,7494.7500,7496.5000,2386
2026-05-22 07:13:37.968,7496.5000,7496.5000,7490.7500,7490.7500,2373
2026-05-22 07:14:14.520,7490.7500,7491.7500,7489.2500,7490.2500,2352
2026-05-22 07:15:07.912,7490.2500,7491.7500,7488.5000,7489.2500,2370
2026-05-22 07:15:50.152,7489.2500,7495.0000,7489.0000,7493.7500,2351
2026-05-22 07:16:39.596,7493.7500,7494.5000,7492.0000,7492.2500,2337
2026-05-22 07:17:36.800,7492.2500,7493.7500,7491.0000,7492.7500,2359
2026-05-22 07:18:29.792,7492.5000,7492.5000,7488.0000,7488.0000,2347
2026-05-22 07:19:30.132,7488.0000,7491.2500,7488.0000,7490.0000,2351
2026-05-22 07:20:20.120,7490.0000,7490.2500,7487.5000,7488.7500,2380
2026-05-22 07:21:17.420,7488.7500,7490.2500,7487.2500,7487.7500,2273
2026-05-22 07:22:03.316,7487.7500,7488.0000,7484.7500,7484.7500,2352
2026-05-22 07:22:38.704,7484.5000,7487.5000,7483.2500,7487.2500,2338
2026-05-22 07:23:16.856,7487.2500,7487.2500,7482.7500,7483.0000,2373
2026-05-22 07:23:54.608,7483.0000,7484.5000,7481.2500,7481.5000,2638
2026-05-22 07:24:13.640,7481.5000,7481.7500,7478.7500,7481.0000,2717
2026-05-22 07:24:49.688,7481.0000,7484.2500,7480.7500,7484.2500,2461
2026-05-22 07:25:29.400,7484.2500,7484.7500,7482.7500,7484.0000,2368
2026-05-22 07:26:07.872,7484.0000,7487.5000,7484.0000,7487.5000,2420
2026-05-22 07:26:54.596,7487.5000,7488.5000,7486.0000,7486.5000,2377
2026-05-22 07:27:54.160,7486.5000,7488.7500,7485.2500,7488.2500,2360
2026-05-22 07:28:57.032,7488.2500,7488.5000,7486.7500,7487.7500,2374
2026-05-22 07:29:45.988,7487.7500,7490.7500,7487.7500,7490.2500,2438
2026-05-22 07:30:13.484,7490.2500,7492.2500,7490.0000,7492.0000,3119
2026-05-22 07:30:50.664,7492.0000,7492.0000,7488.7500,7491.0000,2654
2026-05-22 07:31:40.608,7491.0000,7492.5000,7489.7500,7492.5000,3281
2026-05-22 07:32:41.924,7492.5000,7492.7500,7488.5000,7490.7500,2369
